,Id,Año,Mes,Día,Fecha ,Vehiculo victima,Sexo,Edad victima,Gravedad,Rango_etario
0,LC-2019-0000053,2019,1,1,2019-01-01,sd,Varon,57,SD,Entre 41-60
1,LC-2019-0000063,2019,1,1,2019-01-01,sd,SD,0,SD,Menos de 20
2,LC-2019-0000079,2019,1,1,2019-01-01,sd,Varon,0,SD,Menos de 20
3,LC-2019-0000082,2019,1,1,2019-01-01,sd,Varon,45,SD,Entre 41-60
4,LC-2019-0000082,2019,1,1,2019-01-01,sd,Mujer,45,SD,Entre 41-60
5,LC-2019-0000082,2019,1,1,2019-01-01,sd,Varon,27,SD, Entre 21- 40
6,LC-2019-0000082,2019,1,1,2019-01-01,sd,Mujer,32,SD, Entre 21- 40
7,LC-2019-0000136,2019,1,1,2019-01-01,sd,Varon,21,SD, Entre 21- 40
8,LC-2019-0000136,2019,1,1,2019-01-01,sd,Mujer,21,SD, Entre 21- 40
9,LC-2019-0000142,2019,1,1,2019-01-01,sd,Varon,37,SD, Entre 21- 40
10,LC-2019-0000179,2019,1,1,2019-01-01,sd,SD,0,SD,Menos de 20
11,LC-2019-0000194,2019,1,1,2019-01-01,sd,Mujer,33,SD, Entre 21- 40
12,LC-2019-0000202,2019,1,1,2019-01-01,sd,Varon,25,SD, Entre 21- 40
13,LC-2019-0000329,2019,1,1,2019-01-01,sd,Varon,23,SD, Entre 21- 40
14,LC-2019-0000347,2019,1,1,2019-01-01,sd,Varon,0,SD,Menos de 20
15,LC-2019-0000445,2019,1,1,2019-01-01,sd,Varon,42,SD,Entre 41-60
16,LC-2019-0000445,2019,1,1,2019-01-01,sd,Mujer,42,SD,Entre 41-60
17,LC-2019-0000445,2019,1,1,2019-01-01,sd,Varon,37,SD, Entre 21- 40
18,LC-2019-0000493,2019,1,1,2019-01-01,sd,Varon,53,SD,Entre 41-60
19,LC-2019-0000600,2019,1,1,2019-01-01,sd,Mujer,1,SD,Menos de 20
20,LC-2019-0000636,2019,1,1,2019-01-01,sd,Mujer,62,SD,Entre 61-80
21,LC-2019-0000647,2019,1,1,2019-01-01,sd,Varon,0,SD,Menos de 20
22,LC-2019-0000686,2019,1,1,2019-01-01,sd,Mujer,67,SD,Entre 61-80
23,LC-2019-0005235,2019,1,1,2019-01-01,sd,Mujer,75,SD,Entre 61-80
24,LC-2019-0000928,2019,1,2,2019-01-02,sd,Mujer,40,SD,Entre 41-60
25,LC-2019-0000963,2019,1,2,2019-01-02,sd,Mujer,48,SD,Entre 41-60
26,LC-2019-0000963,2019,1,2,2019-01-02,sd,Varon,48,SD,Entre 41-60
27,LC-2019-0000963,2019,1,2,2019-01-02,sd,Mujer,27,SD, Entre 21- 40
28,LC-2019-0000963,2019,1,2,2019-01-02,sd,Mujer,3,SD,Menos de 20
29,LC-2019-0000963,2019,1,2,2019-01-02,sd,Mujer,33,SD, Entre 21- 40
30,LC-2019-0001754,2019,1,2,2019-01-02,sd,Mujer,49,SD,Entre 41-60
31,LC-2019-0001879,2019,1,2,2019-01-02,sd,SD,0,SD,Menos de 20
32,LC-2019-0001948,2019,1,2,2019-01-02,sd,Varon,0,SD,Menos de 20
33,LC-2019-0547054,2019,9,1,2019-09-01,sd,Varon,25,SD, Entre 21- 40
34,LC-2019-0001992,2019,1,2,2019-01-02,sd,Varon,34,SD, Entre 21- 40
35,LC-2019-0002083,2019,1,2,2019-01-02,sd,Varon,27,SD, Entre 21- 40
36,LC-2019-0002208,2019,1,2,2019-01-02,sd,Varon,34,SD, Entre 21- 40
37,LC-2019-0002218,2019,1,2,2019-01-02,sd,Varon,52,SD,Entre 41-60
38,LC-2019-0002740,2019,1,2,2019-01-02,sd,Varon,44,SD,Entre 41-60
39,LC-2019-0003220,2019,1,2,2019-01-02,sd,Mujer,28,SD, Entre 21- 40
40,LC-2019-0003220,2019,1,2,2019-01-02,sd,Varon,28,SD, Entre 21- 40
41,LC-2019-0003340,2019,1,2,2019-01-02,sd,SD,0,SD,Menos de 20
42,LC-2019-0005610,2019,1,2,2019-01-02,sd,Varon,59,SD,Entre 41-60
43,LC-2019-0020183,2019,1,2,2019-01-02,sd,Varon,50,SD,Entre 41-60
44,LC-2019-0022496,2019,1,2,2019-01-02,sd,Varon,73,SD,Entre 61-80
45,LC-2019-0003428,2019,1,3,2019-01-03,sd,Varon,45,SD,Entre 41-60
46,LC-2019-0816662,2019,12,24,2019-12-24,sd,Varon,26,SD, Entre 21- 40
47,LC-2019-0025711,2019,1,13,2019-01-13,sd,Varon,32,SD, Entre 21- 40
48,LC-2019-0003642,2019,1,3,2019-01-03,sd,Varon,51,SD,Entre 41-60
49,LC-2019-0003787,2019,1,3,2019-01-03,sd,Varon,48,SD,Entre 41-60
50,LC-2019-0003862,2019,1,3,2019-01-03,sd,Mujer,37,SD, Entre 21- 40
51,LC-2019-0003862,2019,1,3,2019-01-03,sd,Varon,37,SD, Entre 21- 40
52,LC-2019-0003884,2019,1,3,2019-01-03,sd,Mujer,0,SD,Menos de 20
53,LC-2019-0004144,2019,1,3,2019-01-03,sd,Varon,16,SD,Menos de 20
54,LC-2019-0004229,2019,1,3,2019-01-03,sd,Mujer,43,SD,Entre 41-60
55,LC-2019-0004442,2019,1,3,2019-01-03,sd,Mujer,38,SD, Entre 21- 40
56,LC-2019-0004442,2019,1,3,2019-01-03,sd,Varon,38,SD, Entre 21- 40
57,LC-2019-0004565,2019,1,3,2019-01-03,sd,Mujer,0,SD,Menos de 20
58,LC-2019-0004621,2019,1,3,2019-01-03,sd,Varon,0,SD,Menos de 20
59,LC-2019-0004622,2019,1,3,2019-01-03,sd,Mujer,0,SD,Menos de 20
60,LC-2019-0004652,2019,1,3,2019-01-03,sd,Varon,28,SD, Entre 21- 40
61,LC-2019-0004717,2019,1,3,2019-01-03,sd,Varon,45,SD,Entre 41-60
62,LC-2019-0004718,2019,1,3,2019-01-03,sd,Varon,51,SD,Entre 41-60
63,LC-2019-0005334,2019,1,3,2019-01-03,sd,Varon,33,SD, Entre 21- 40
64,LC-2019-0005614,2019,1,3,2019-01-03,sd,Varon,43,SD,Entre 41-60
65,LC-2019-0005622,2019,1,3,2019-01-03,sd,Mujer,64,SD,Entre 61-80
66,LC-2019-0005638,2019,1,3,2019-01-03,sd,Varon,36,SD, Entre 21- 40
67,LC-2019-0005638,2019,1,3,2019-01-03,sd,Mujer,36,SD, Entre 21- 40
68,LC-2019-0005647,2019,1,3,2019-01-03,sd,Varon,45,SD,Entre 41-60
69,LC-2019-0005681,2019,1,3,2019-01-03,sd,Mujer,0,SD,Menos de 20
70,LC-2019-0005764,2019,1,3,2019-01-03,sd,Varon,84,SD,Más de 80
71,LC-2019-0005815,2019,1,3,2019-01-03,sd,Varon,22,SD, Entre 21- 40
