Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0000053,1900-01-01,2019,1,1,,,,,,,Varon,57,Entre 41-60,,,,,,,,,,,,
LC-2019-0000063,1900-01-01,2019,1,1,,,,,,,SD,0,Menos de 20,,,,,,,,,,,,
LC-2019-0000079,1900-01-01,2019,1,1,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0000082,1900-01-01,2019,1,1,,,,,,,Varon,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0000082,1900-01-01,2019,1,1,,,,,,,Mujer,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0000082,1900-01-01,2019,1,1,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000082,1900-01-01,2019,1,1,,,,,,,Mujer,32, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000136,1900-01-01,2019,1,1,,,,,,,Varon,21, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000136,1900-01-01,2019,1,1,,,,,,,Mujer,21, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000142,1900-01-01,2019,1,1,,,,,,,Varon,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000179,1900-01-01,2019,1,1,,,,,,,SD,0,Menos de 20,,,,,,,,,,,,
LC-2019-0000194,1900-01-01,2019,1,1,,,,,,,Mujer,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000202,1900-01-01,2019,1,1,,,,,,,Varon,25, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000329,1900-01-01,2019,1,1,,,,,,,Varon,23, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000347,1900-01-01,2019,1,1,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0000445,1900-01-01,2019,1,1,,,,,,,Varon,42,Entre 41-60,,,,,,,,,,,,
LC-2019-0000445,1900-01-01,2019,1,1,,,,,,,Mujer,42,Entre 41-60,,,,,,,,,,,,
LC-2019-0000445,1900-01-01,2019,1,1,,,,,,,Varon,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000493,1900-01-01,2019,1,1,,,,,,,Varon,53,Entre 41-60,,,,,,,,,,,,
LC-2019-0000600,1900-01-01,2019,1,1,,,,,,,Mujer,1,Menos de 20,,,,,,,,,,,,
LC-2019-0000636,1900-01-01,2019,1,1,,,,,,,Mujer,62,Entre 61-80,,,,,,,,,,,,
LC-2019-0000647,1900-01-01,2019,1,1,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0000686,1900-01-01,2019,1,1,,,,,,,Mujer,67,Entre 61-80,,,,,,,,,,,,
LC-2019-0005235,1900-01-01,2019,1,1,,,,,,,Mujer,75,Entre 61-80,,,,,,,,,,,,
LC-2019-0000928,1900-01-01,2019,1,2,,,,,,,Mujer,40,Entre 41-60,,,,,,,,,,,,
LC-2019-0000963,1900-01-01,2019,1,2,,,,,,,Mujer,48,Entre 41-60,,,,,,,,,,,,
LC-2019-0000963,1900-01-01,2019,1,2,,,,,,,Varon,48,Entre 41-60,,,,,,,,,,,,
LC-2019-0000963,1900-01-01,2019,1,2,,,,,,,Mujer,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0000963,1900-01-01,2019,1,2,,,,,,,Mujer,3,Menos de 20,,,,,,,,,,,,
LC-2019-0000963,1900-01-01,2019,1,2,,,,,,,Mujer,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0001754,1900-01-01,2019,1,2,,,,,,,Mujer,49,Entre 41-60,,,,,,,,,,,,
LC-2019-0001879,1900-01-01,2019,1,2,,,,,,,SD,0,Menos de 20,,,,,,,,,,,,
LC-2019-0001948,1900-01-01,2019,1,2,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0547054,1900-01-01,2019,9,1,,,,,,,Varon,25, Entre 21- 40,,,,,,,,,,,,
LC-2019-0001992,1900-01-01,2019,1,2,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0002083,1900-01-01,2019,1,2,,,,,,,Varon,27, Entre 21- 40,,,,,,,,,,,,
LC-2019-0002208,1900-01-01,2019,1,2,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0002218,1900-01-01,2019,1,2,,,,,,,Varon,52,Entre 41-60,,,,,,,,,,,,
LC-2019-0002740,1900-01-01,2019,1,2,,,,,,,Varon,44,Entre 41-60,,,,,,,,,,,,
LC-2019-0003220,1900-01-01,2019,1,2,,,,,,,Mujer,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0003220,1900-01-01,2019,1,2,,,,,,,Varon,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0003340,1900-01-01,2019,1,2,,,,,,,SD,0,Menos de 20,,,,,,,,,,,,
LC-2019-0005610,1900-01-01,2019,1,2,,,,,,,Varon,59,Entre 41-60,,,,,,,,,,,,
LC-2019-0020183,1900-01-01,2019,1,2,,,,,,,Varon,50,Entre 41-60,,,,,,,,,,,,
LC-2019-0022496,1900-01-01,2019,1,2,,,,,,,Varon,73,Entre 61-80,,,,,,,,,,,,
LC-2019-0003428,1900-01-01,2019,1,3,,,,,,,Varon,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0816662,1900-01-01,2019,12,24,,,,,,,Varon,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0025711,1900-01-01,2019,1,13,,,,,,,Varon,32, Entre 21- 40,,,,,,,,,,,,
LC-2019-0003642,1900-01-01,2019,1,3,,,,,,,Varon,51,Entre 41-60,,,,,,,,,,,,
LC-2019-0003787,1900-01-01,2019,1,3,,,,,,,Varon,48,Entre 41-60,,,,,,,,,,,,
LC-2019-0003862,1900-01-01,2019,1,3,,,,,,,Mujer,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0003862,1900-01-01,2019,1,3,,,,,,,Varon,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0003884,1900-01-01,2019,1,3,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0004144,1900-01-01,2019,1,3,,,,,,,Varon,16,Menos de 20,,,,,,,,,,,,
LC-2019-0004229,1900-01-01,2019,1,3,,,,,,,Mujer,43,Entre 41-60,,,,,,,,,,,,
LC-2019-0004442,1900-01-01,2019,1,3,,,,,,,Mujer,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0004442,1900-01-01,2019,1,3,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0004565,1900-01-01,2019,1,3,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0004621,1900-01-01,2019,1,3,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
